src	dst	numberOfPaths
3048968	3060410	1
3048968	3295888	1
3048968	3559622	2
3048968	3585862	3
3048968	3597706	1
3048968	3934648	2
3049338	3247960	2
3049338	3616680	5
3049899	3732953	1
3049899	3543088	1
3050876	3055527	2
3050876	4093965	1
3051207	3511639	1
3051207	4059099	1
3051207	3425557	4
3051207	3494459	1
3051207	3239799	1
3051207	3035074	4
3051207	3465250	3
3051207	4006766	2
3051207	4153988	1
3052724	255999	1
3052724	263919	2
3052724	1146601	4
3052724	3296095	2
3052724	257517	2
3052724	293151	4
3052724	3610365	1
3052724	1476431	1
3052724	2030979	1
3052724	3577325	1
3052724	3946639	1
3052724	3272022	4
3052724	4038944	1
3052724	1820436	2
3052724	3572270	1
3052724	266436	4
3052724	2930818	3
3052724	3573818	3
3052724	4021584	2
3052724	4684716	1
3052724	3278632	1
3053248	3521653	1
3053248	3965313	7
3053321	3500855	1
3053321	3566955	3
3053321	3796693	3
3053321	3832643	1
3053321	3844241	2
3053321	3298693	1
3053321	3728459	1
3053321	4833021	1
3053321	3566572	1
3053321	3240242	1
3053321	3743426	2
3054443	3695397	1
3054443	3817087	1
3054443	3728895	1
3054443	3748657	1
3054443	3724626	1
3054443	4480496	1
3054443	3862844	1
3054443	286490	1
3054443	3403372	1
3054443	4192524	1
3054659	2999633	2
3055527	4093965	1
3055527	3050876	2
3056540	4142613	2
3056540	3339249	1
3056540	4082583	2
3056540	4107713	1
3056540	3919733	1
3056540	4335907	1
3056540	3112438	1
3056540	3918840	1
3056540	3354388	2
3056540	3357262	3
3056540	3549584	3
3057020	3642252	2
3058766	3531807	1
3058766	4049275	2
3058766	3990577	1
3058766	3336004	1
3058766	3515092	1
3058766	4821760	1
3058766	4862168	1
3058766	3541650	2
3059218	3865931	1
3059218	3003124	2
3060410	3375195	1
3060410	3440797	1
3060410	3824457	1
3060410	3921179	1
3060410	4221985	1
3060410	2998491	2
3060410	3881689	1
3060410	4380323	1
3060410	3346832	1
3060410	3520028	1
3060410	1508282	2
3060410	2931848	1
3060410	3619500	1
3060410	3633744	1
3060410	3918890	1
3060410	3325944	1
3060410	3338750	1
3060410	3611876	2
3060410	3048968	1
3060410	3295888	1
3060410	3559622	1
3060410	3585862	1
3060410	3597706	1
3060410	3934648	1
3061129	3509987	1
3061129	3816115	1
3061129	4369765	1
3061129	4497359	1
3061129	3299175	1
3061129	3814334	1
3061129	4467186	1
3061129	3394558	1
3061129	4412798	1
3063578	719368	2
3065284	2584093	1
3065284	509315	1
3066452	3311823	1
3066452	3246516	1
3066452	3475258	1
3068336	3187691	1
3068336	3070743	1
3068336	3279159	1
3068336	3803686	1
3068336	3623496	2
3068336	3256174	1
3068336	3343556	1
3068336	3275320	1
3068336	3283036	1
3070743	3101507	1
3070743	3518031	1
3070743	3833915	1
3070743	3772501	1
3070743	4775155	1
3070743	3068336	1
3070743	3524004	1
3070743	3623496	2
3070743	3133534	1
3070743	3549088	1
3071707	3094329	1
3072993	267715	1
3072993	3503821	1
3072993	3578251	1
3072993	3639362	1
3072993	3641706	1
3072993	3899660	1
3072993	3243698	1
3072993	3580040	1
3073613	4039362	2
3073649	1325806	1
3073882	3764607	1
3073882	3768151	1
3073882	2945289	3
3073882	3566697	2
3073882	3582895	1
3073882	3221703	3
3073882	3670851	2
3073882	3121166	2
3073882	3661482	1
3073882	3244696	1
3073882	4013304	1
3073882	3660866	2
3073921	3580391	2
3073921	3506137	4
3073921	3604163	1
3073921	3954763	1
3073921	3074392	1
3073921	3108852	1
3073921	2955128	4
3073921	3073938	2
3073921	3526978	1
3073938	3580391	3
3073938	3073921	2
3073938	3506137	2
3073938	3954763	2
3073938	2955128	2
3073987	3819315	3
3073987	3995297	1
3073987	4140573	1
3073987	3524729	2
3073987	3252819	1
3073987	3427623	2
3073987	3514271	1
3073987	3608327	2
3073987	3776717	1
3073987	4037037	1
3073987	1943527	1
3073987	3627081	2
3073987	4146784	1
3073987	4176380	3
3073987	1632474	1
3073987	3509318	3
3073987	3803472	1
3073987	3520778	1
3073987	3817244	3
3074392	3073921	1
3074392	3506137	1
3074392	3604163	1
3074392	3684909	1
3074392	3108852	1
3074392	2955128	1
3074392	3526978	2
3074424	3802299	1
3074424	3242475	1
3074424	3486812	2
3074424	3387800	3
3074424	3411878	2
3074424	3913326	1
3074424	3881894	1
3074424	4022182	2
3074463	4306317	1
3074463	611380	1
3074463	3536830	1
3074463	276100	1
3074463	4183552	1
3074573	3854283	1
3074573	4122545	1
3074573	3733140	1
3074573	4087674	2
3074573	3551096	1
3074573	3711734	1
3074573	3920602	3
3074573	3953992	2
3074573	3994660	1
3074573	4432862	1
3074573	3267972	1
3074573	4123724	2
3076406	236795	1
3076406	4096097	1
3076406	3111845	1
3076406	3373073	3
3076406	3789331	1
3076406	3578132	1
3076406	3314320	1
3076406	3632770	1
3076406	4138810	1
3076583	3107969	3
3076583	3474003	4
3076583	3229565	1
3076583	4088179	1
3076583	4194767	1
3076583	3002465	1
3076583	4785628	1
3076583	3428676	1
3076927	738343	1
3076927	840544	2
3076927	3853942	5
3078084	3291017	3
3078084	3298523	3
3078084	3313055	3
3078084	3644275	3
3078084	3481342	2
3078141	3026547	4
3078141	4179767	1
3078141	4040929	1
3078141	3010908	4
3078141	2951834	3
3078141	4098492	4
3078458	3669929	2
3078458	3729109	2
3079008	3598362	1
3079008	3988858	1
3079008	4041128	2
3079604	4123314	1
3080025	3738183	1
3080025	4378299	1
3080025	3675641	1
3080025	4349659	1
3080025	3114315	1
3080025	3938057	1
3080025	3974623	1
3080025	3025000	1
3080025	3704330	1
3080025	4031712	2
3080025	3839208	1
3080025	3981416	1
3080390	3728029	2
3080390	3114065	4
3080390	3967707	2
3080390	3085787	1
3080390	3610599	2
3080668	3860354	1
3080717	3265591	2
3080717	3368537	1
3080717	2998088	1
3081196	3469429	1
3081196	3525615	1
3081196	3460575	1
3081196	3575285	1
3081196	3706599	2
3081196	3726835	2
3081196	3730233	1
3081196	3713447	1
3081196	3686059	1
3081196	4170509	1
3081196	4319873	1
3081196	3816540	1
3081196	3861942	1
3081196	4049290	1
3081196	4079188	1
3081196	4863610	1
3081196	3378452	1
3081196	3561894	1
3081196	3415828	1
3081196	3993270	1
3081196	4860070	1
3081398	3334445	1
3081898	3616225	1
3081898	3110551	2
3081898	3255059	1
3081898	3617109	1
3081898	4313899	1
3081898	3454783	3
3081898	3605135	1
3081898	3008281	1
3081898	3325303	1
3081898	3413891	1
3081898	3415001	3
3081898	4331366	1
3081898	3669486	1
3081898	3825048	1
3081898	3479352	1
3081898	3638180	2
3081898	3648614	1
3081898	2998722	1
3081898	3007172	2
3081898	3109162	1
3081898	3760024	1
3081902	3724465	1
3081902	3725999	1
3081902	3997741	1
3081902	4356223	2
3081902	4098392	1
3081902	3555650	1
3081902	4020578	1
3082118	3549131	2
3082118	3791801	1
3082118	4061913	1
3082118	3905795	1
3082118	4302295	1
3082118	2999469	3
3082118	3003923	1
3082118	3958595	1
3082118	4020851	1
3082118	3756100	1
3082118	3839012	2
3082118	4114126	1
3082118	4645524	2
3082118	3648998	1
3082118	3809660	1
3082118	3561802	1
3082118	3781350	1
3082118	3924802	1
3082118	3909304	1
3082213	3640709	3
3082213	3878621	4
3082213	3903305	1
3082213	4090791	4
3082213	4526133	2
3082213	3410715	1
3082213	3480339	3
3082213	3292899	2
3082213	3669689	5
3082213	3856371	2
3082213	4053899	2
3082213	4084249	4
3082213	3338012	4
3082213	3555162	4
3082213	3800104	3
3082213	4118302	2
3082213	3221790	3
3082213	3888148	3
3082213	4101940	3
3082213	4104642	1
3082213	4516068	1
3082213	3641222	2
3082213	3559622	1
3082213	3729424	4
3082252	3339923	3
3082252	3101097	1
3082252	3225123	1
3082252	3751747	3
3082252	3418086	1
3082252	3948470	1
3082873	3551241	4
3082873	4020387	1
3083978	3716053	2
3083978	3090029	4
3083978	3597615	2
3083978	3424628	4
3083978	3402078	1
3083978	3495870	2
3084221	3716053	1
3084221	3828171	1
3084221	4279603	1
3084221	3456445	1
3084221	3518968	1
3084221	4118234	1
3084221	4134384	2
3084221	4067684	1
3084221	3241864	2
3084221	3398152	2
3084221	3495870	1
3084221	3744752	1
3084221	3792042	1
3085095	3512059	1
3085095	4015963	1
3085122	3196203	1
3085787	4318839	1
3085787	3114065	1
3085787	3861372	1
3085787	4825120	1
3085787	4850836	1
3085787	3080390	1
3086155	3303839	1
3086155	4118423	1
3086155	4113581	1
3086155	4183750	1
3086155	4774304	2
3086155	662866	1
3086389	3379017	2
3086389	4319619	1
3086389	3302436	2
3086389	2970632	2
3087217	3885597	2
3087217	267240	4
3087217	4186736	1
3087217	3420546	4
3087272	4344563	1
3087272	3760059	1
3087272	4378411	1
3087272	4076248	1
3087988	2931298	1
3087988	3703106	2
3089032	3654722	2
3090029	3716053	2
3090029	3597615	2
3090029	3424628	4
3090029	3083978	4
3090029	3402078	1
3090029	3495870	2
3090089	3496240	1
3090089	4023946	1
3090089	3603102	1
3090216	3310152	2
3090621	1620311	1
3090621	3720955	1
3090621	4186736	1
3090621	1496034	1
3090621	4776052	1
3091123	3692913	1
3091123	3934648	1
3091251	3219513	1
3091251	3699095	1
3091251	3113589	1
3091251	3509445	1
3091251	3687722	2
3091251	4822480	1
3091331	4142481	2
3091331	3777344	1
3091331	3359844	2
3093103	3333691	1
3093103	3892225	3
3093103	3117382	7
3093103	3508188	1
3093103	3592450	3
3093103	3992516	1
3093656	741969	2
3093656	270447	3
3093656	4823426	3
3093656	3529680	2
3093865	3209806	2
3093865	4342284	1
3093865	3561240	2
3094152	3121589	1
3094152	3479055	2
3094152	3487882	1
3094152	3422748	1
3094329	3071707	1
3094399	3248041	1
3094399	3606235	1
3094399	3608137	2
3094399	3610629	1
3094399	3954751	1
3094399	3589221	1
3094399	3638041	1
3094399	3238145	1
3094399	3565715	1
3094399	3872501	1
3094399	3272777	1
3094399	4026261	1
3094399	4220944	1
3094399	4027706	1
3094399	3260538	1
3095333	3358189	1
3095333	3685491	1
3095333	3165303	1
3095333	3454283	1
3095333	3535369	1
3095333	3104113	1
3095333	3292509	1
3095333	3474159	1
3095333	281844	1
3095333	3355064	1
3095333	3452410	1
3095333	3625648	1
3095333	3929288	1
3095333	4344402	1
3096370	4319591	1
3096370	3225721	1
3096370	3653365	1
3096370	3464650	1
3096370	3551740	1
3096370	2796930	1
3096370	3344376	1
3096841	3692913	1
3096841	3027108	1
3096841	3783112	1
3097113	3457047	2
3097113	2998807	1
3097113	3251377	3
3097113	4775239	1
3097113	3859797	1
3097113	3865835	1
3097113	3927475	1
3097113	3931115	2
3097113	3438939	1
3097113	3814204	1
3097113	2101212	1
3097113	3712682	1
3097113	4101604	1
3097649	3529081	1
3097649	4781870	3
3098692	4106205	2
3098692	3036899	1
3098766	3669929	2
3098766	3670971	1
3098766	3744153	1
3098766	3015964	2
3098766	3236134	1
3098766	3369416	1
3099134	4817755	1
3099134	3536507	2
3099134	3029144	1
3099544	3536853	2
3099544	4773067	1
3099544	3528827	1
3099544	3323519	1
3099544	3414889	1
3099544	3118652	2
3099544	3556278	1
3099636	3461535	1
3099636	3994803	2
3099636	3754165	1
3099636	4219853	1
3099636	3256220	1
3099636	3750692	1
3099636	3813378	1
3100287	3011059	2
3100287	3471523	3
3100701	3536253	1
3100701	3645525	1
3100701	4335281	2
3100701	3156129	1
3100701	3308299	1
3100701	3907774	1
3100701	4817978	1
3100701	3437696	1
3100701	4333090	1
3100701	4340886	1
3101074	730159	2
3101097	3339923	1
3101097	3225123	1
3101097	3751747	1
3101097	3082252	1
3101097	3418086	1
3101097	3948470	1
3101153	4322863	1
3101153	4324417	1
3101153	3585434	1
3101153	3721662	1
3101197	3304481	1
3101197	4044449	1
3101197	4003239	1
3101197	4023687	1
3101197	3266723	1
3101197	3920872	1
3101283	4296362	1
3101507	3518031	1
3101507	3833915	1
3101507	3070743	1
3101507	3772501	1
3101507	4775155	1
3101507	3524004	1
3101507	3623496	1
3101507	3133534	1
3101507	3549088	1
3102457	3646597	1
3102457	3853093	2
3102457	3587522	2
3102457	2585258	2
3102457	3231580	5
3102457	3353072	2
3102457	3108922	2
3102629	4175514	1
3102629	3241864	1
3102633	3357823	3
3102633	534796	4
3102633	3402078	1
3102662	4330375	3
3102662	4178887	1
3102832	3703172	1
3102832	4334980	1
3103310	3998861	1
3103310	2995719	1
3103310	3245127	1
3103310	3527065	1
3103310	4122615	2
3103310	3120302	1
3103310	3251806	1
3103310	3339246	1
3103621	3499093	2
3103621	3881759	2
3103621	3126819	2
3103621	3378497	2
3103621	3919413	2
3103621	3509520	2
3103644	3621327	1
3103644	3336162	1
3103644	3338122	1
3103830	3483067	3
3103830	3172922	3
3103830	3330494	1
3103979	4327434	2
3104113	3358189	1
3104113	3685491	2
3104113	3095333	1
3104113	3165303	1
3104113	3454283	1
3104113	3535369	1
3104113	3292509	1
3104113	3474159	1
3104113	281844	1
3104113	3355064	1
3104113	3452410	1
3104113	3625648	1
3104113	3929288	1
3104113	4344402	1
3104129	3312744	1
3104129	4037052	1
3104312	288945	2
3104312	4365433	2
3104312	1865519	2
3104312	752217	2
3104312	3496495	2
3104312	3613175	3
3104312	3509760	3
3104312	3523942	2
3104312	3922038	2
3104312	3340146	3
3104312	3661462	3
3104312	3599712	2
3104868	2610863	1
3104868	3679725	1
3105170	3010571	2
3105170	3800104	1
3105170	4118302	2
3107678	2102304	3
3107969	4394071	1
3107969	3474003	2
3107969	3612563	1
3107969	3076583	3
3107969	3229565	1
3107969	4088179	1
3107969	4194767	1
3107969	3002465	1
3107969	4785628	1
3107969	3428676	1
3107969	3592542	1
3108530	3247877	2
3108530	506371	5
3108530	3268033	4
3108530	3708181	4
3108530	3581683	4
3108530	4832785	4
3108530	3622218	2
3108530	3222348	4
3108530	4177810	4
3108530	1106474	4
3108530	3736768	5
3108791	3820345	1
3108852	3073921	1
3108852	3506137	1
3108852	3604163	1
3108852	3074392	1
3108852	2955128	1
3108852	3526978	1
3108884	3719139	1
3108884	3035070	1
3108884	3007220	1
3108922	3102457	2
3108922	3646597	1
3108922	3853093	3
3108922	3408046	1
3108922	3587522	3
3108922	2585258	5
3108922	3231580	2
3108922	3353072	5
3109162	3616225	1
3109162	3110551	3
3109162	3255059	1
3109162	3617109	1
3109162	4313899	1
3109162	3454783	1
3109162	3539853	2
3109162	3605135	1
3109162	3008281	1
3109162	3325303	1
3109162	3413891	1
3109162	3415001	2
3109162	4331366	1
3109162	3081898	1
3109162	3669486	1
3109162	3825048	1
3109162	3479352	1
3109162	3638180	3
3109162	3648614	1
3109162	2998722	1
3109162	3007172	1
3109162	3760024	2
3109162	3961260	1
3110238	3699095	1
3110238	4040055	2
3110238	3509445	2
3110238	4081975	1
3110238	3799126	1
3110238	3656676	1
3110238	3523476	3
3110238	4822480	3
3110551	3616225	1
3110551	3255059	1
3110551	3617109	1
3110551	4313899	1
3110551	3454783	2
3110551	3539853	2
3110551	3605135	1
3110551	3008281	1
3110551	3325303	1
3110551	3413891	1
3110551	3415001	3
3110551	4331366	1
3110551	3081898	2
3110551	3669486	1
3110551	3825048	1
3110551	3479352	1
3110551	3638180	3
3110551	3648614	1
3110551	2998722	1
3110551	3007172	1
3110551	3109162	3
3110551	3760024	3
3110551	3961260	1
3110655	3186801	2
3110655	3634674	2
3110942	1841649	2
3110942	3408059	1
3110942	3842933	2
3110942	1258887	1
3110942	3406007	4
3110942	3347234	1
3110942	3696766	1
3110942	3839280	1
3111267	3753021	1
3111677	3860649	1
3111677	3908313	1
3111677	4079741	1
3111677	3230492	2
3111677	3670372	2
3111677	3486802	1
3111677	3880670	1
3111771	3513401	1
3111771	4315423	1
3111771	3401495	1
3111771	3874841	1
3111771	4310363	1
3111771	3916577	1
3111771	4186739	1
3111771	4311200	1
3111771	3898384	1
3111771	4342504	2
3111771	3723782	1
3111771	4329556	1
3111771	4846794	1
3111845	236795	3
3111845	4096097	2
3111845	3373073	1
3111845	3789331	1
3111845	3076406	1
3111845	3578132	4
3111845	3314320	3
3111845	3632770	1
3112435	3942217	2
3112435	3455841	1
3112435	3388813	1
3112435	2990987	1
3112435	3494129	1
3112435	3443346	1
3112435	4126552	2
3112435	638500	1
3112435	3239112	2
3112435	3330420	1
3112435	3923556	1
3112435	756418	1
3112438	4142613	4
3112438	4082583	1
3112438	3919733	1
3112438	4335907	1
3112438	3918840	1
3112438	3056540	1
3112438	3354388	1
3112438	3357262	1
3112438	3549584	1
3113589	3091251	1
3113589	3219513	1
3113589	3699095	1
3113589	3509445	1
3113589	3687722	1
3113589	4822480	1
3113803	3677691	3
3114052	3263643	1
3114052	3470595	1
3114052	3326533	1
3114052	4217019	2
3114052	3938997	1
3114052	4463275	1
3114052	3222056	1
3114052	3018752	1
3114065	3337981	1
3114065	3728029	2
3114065	3967707	2
3114065	3085787	1
3114065	3429670	1
3114065	3610599	3
3114065	3080390	4
3114090	2173315	1
3114093	3587031	1
3114093	3795143	1
3114093	3165127	1
3114093	3660237	1
3114093	3276416	1
3114093	3017714	1
3114181	4443047	1
3114181	4217705	1
3114181	3236826	1
3114181	4020944	2
3114181	3371904	3
3114181	3971238	1
3114315	3080025	1
3114315	3738183	3
3114315	4378299	2
3114315	3116185	4
3114315	3488233	2
3114315	3675641	2
3114315	4349659	2
3114315	3938057	1
3114315	3974623	3
3114315	2995686	2
3114315	3025000	3
3114315	3704330	2
3114315	4053186	1
3114315	4031712	2
3114315	3116712	2
3114315	3839208	3
3114315	3981416	2
3114376	3305545	1
3114376	3313321	2
3114376	3351587	1
3114376	3654337	1
3114376	3723063	1
3114376	3954897	1
3114376	3957979	1
3114376	3293211	1
3114376	3298419	2
3114376	3539853	1
3114376	3957269	2
3114376	3302801	2
3114376	3440007	1
3114376	3645493	1
3114376	3957259	1
3114376	3654240	1
3114376	3307330	1
3114376	3313640	1
3114376	3646322	1
3114376	3649150	1
3114376	3669486	1
3114376	3259268	1
3114376	3400172	2
3114376	3645694	1
3114376	3648614	1
3114376	4130274	1
3114376	3295752	1
3114376	3576814	1
3114376	3613762	1
3114376	3780076	1
3114376	3961260	1
3114852	3409439	2
3114852	3046337	1
3114852	3673641	1
3114852	3751363	2
3114852	3653331	1
3114852	3003124	1
3115143	2979263	1
3115143	3290353	1
3115143	3427880	2
3115143	2331740	2
3115143	3332254	6
3115522	3704875	1
3115522	4332062	1
3115522	4883596	1
3116185	3738183	2
3116185	4378299	1
3116185	3488233	3
3116185	3675641	1
3116185	4349659	1
3116185	3114315	4
3116185	3938057	2
3116185	3974623	2
3116185	2995686	3
3116185	3025000	2
3116185	3704330	1
3116185	4053186	2
3116185	4031712	1
3116185	3116712	3
3116185	3839208	2
3116185	3981416	1
3116712	3738183	1
3116712	4378299	1
3116712	3116185	3
3116712	3488233	2
3116712	3675641	1
3116712	4349659	1
3116712	3114315	2
3116712	3938057	2
3116712	3974623	2
3116712	2995686	2
3116712	3025000	1
3116712	3704330	1
3116712	4053186	2
3116712	4031712	1
3116712	3839208	1
3116712	3981416	1
3116912	3423935	3
3116912	1789215	2
3116912	2969843	1
3116912	3282887	1
3116912	3118824	2
3116912	3274990	2
3116912	3366084	2
3116912	3573058	1
3116912	3220100	3
3116912	3312502	1
3116912	3330816	1
3116912	3357522	1
3116912	3393126	1
3116912	3812656	1
3117221	3788088	1
3117382	3093103	7
3117382	3333691	1
3117382	3892225	3
3117382	3508188	1
3117382	3592450	3
3117382	3992516	1
3117882	3738595	1
3117903	3448477	1
3117903	3250167	1
3117903	4544544	2
3117903	274172	1
3117903	2930814	1
3117903	3314710	1
3117903	4323882	1
3118055	4306845	1
3118652	3536853	2
3118652	4773067	1
3118652	3528827	1
3118652	3323519	1
3118652	3414889	1
3118652	3099544	2
3118652	3556278	1
3118824	3423935	1
3118824	1789215	2
3118824	2969843	1
3118824	3282887	1
3118824	3274990	1
3118824	3366084	1
3118824	3573058	1
3118824	3220100	2
3118824	3312502	1
3118824	3116912	2
3118901	4340977	1
3118901	3285742	1
3119277	3203323	4
3119283	3120182	2
3119283	3646620	2
3119476	3626281	4
3119476	3562134	2
3119476	3677598	2
3120001	3502361	1
3120182	3119283	2
3120182	3646620	2
3120302	3998861	1
3120302	2995719	1
3120302	3245127	1
3120302	3527065	1
3120302	4122615	1
3120302	3103310	1
3120302	3251806	1
3120302	3339246	1
3120391	1084567	4
3120391	3565700	1
3120391	3240310	3
3120391	3559238	4
3120523	1812072	1
3120523	3236134	1
3121019	4023905	2
3121078	3544621	2
3121078	3529349	1
3121078	3648981	2
3121078	3648854	1
3121078	3650948	2
3121078	3647202	2
3121078	3314368	2
3121078	3646620	2
3121166	3764607	1
3121166	3768151	1
3121166	2945289	3
3121166	3566697	2
3121166	3221703	2
3121166	3670851	2
3121166	3661482	1
3121166	3244696	1
3121166	4013304	1
3121166	3073882	2
3121166	3660866	3
3121334	3292521	1
3121334	4386179	1
3121334	288945	1
3121334	3667037	1
3121334	1865519	1
3121334	3249283	1
3121334	3735955	1
3121334	3224498	2
3121334	3754454	1
3121334	3748602	2
3121334	3358812	1
3121589	3587765	1
3121589	3479055	5
3121589	3094152	1
3121589	3234906	1
3121589	3487882	1
3121589	3229544	1
3121589	3422748	1
3123055	2599637	1
3123055	3871897	2
3123055	3875212	2
3123055	3184886	3
3123652	3606777	3
3123652	3558557	3
3123652	1812072	1
3123800	3715461	1
3123800	74305	1
3123800	3757433	1
3123800	4032407	1
3123800	3438939	1
3123800	3532081	1
3123800	3371896	1
3123800	3518968	1
3123800	3538910	1
3123800	3424942	3
3123800	3525774	1
3123800	4073878	2
3123800	4098294	3
3123800	4118234	1
3123800	4134384	1
3123800	3625894	1
3123800	3690278	1
3123800	3241864	1
3123800	4060674	2
3124371	3908507	2
3124371	3908581	1
3124371	3710793	2
3124371	3592769	1
3124371	3125374	2
3124371	3510982	2
3125374	3124371	2
3125374	3908507	2
3125374	3908581	1
3125374	3710793	2
3125374	3592769	1
3125374	3510982	2
3126802	3766889	4
3126802	3318156	2
3126819	3499093	3
3126819	3881759	1
3126819	3103621	2
3126819	3378497	3
3126819	3919413	3
3126819	3509520	2
3127245	3703985	1
3127245	4163580	1
3132101	3303121	1
3132101	3819908	1
3132101	3660866	2
3132101	3700048	4
3133534	3101507	1
3133534	3518031	1
3133534	3833915	1
3133534	3070743	1
3133534	3772501	1
3133534	4775155	1
3133534	3524004	2
3133534	3623496	1
3133534	3549088	1
3138029	3769665	2
3138029	3976611	2
3138029	3978143	1
3138029	4804405	1
3138029	3324070	2
3138029	4186736	1
3139692	3701939	1
3139692	3703227	1
3139692	3530379	3
3143786	4031657	1
3143786	4274179	1
3143786	4337331	1
3143786	4007242	1
3147740	917339	1
3147740	1010995	3
3147740	3240329	4
3147740	2834575	2
3147740	3243841	1
3147740	4335591	1
3147740	3864957	1
3147740	4643749	1
3147740	4805819	1
3147740	47726	1
3147740	4308850	1
3147740	3204588	1
3147740	3719736	1
3147740	3937780	1
3147740	4813806	1
3147740	3400072	1
3156129	3536253	1
3156129	3100701	1
3156129	3645525	1
3156129	4335281	1
3156129	3308299	1
3156129	3907774	1
3156129	4817978	1
3156129	3437696	1
3156129	4333090	1
3156129	4340886	1
3159076	3511057	1
3159076	3869457	1
3159227	3170790	1
3161907	2958708	1
3161907	4081462	1
3161907	4282028	1
3163040	3403399	1
3163040	3531547	1
3163040	3675641	1
3163040	3854055	1
3163040	3826160	1
3163040	687180	1
3163040	3605942	1
3163040	3869574	1
3165127	3587031	1
3165127	3795143	1
3165127	3660237	2
3165127	3114093	1
3165127	3388203	2
3165127	3276416	3
3165127	3324070	1
3165127	3945420	2
3165127	3017714	3
3165127	3664062	1
3165127	3941324	2
3165303	3358189	2
3165303	3685491	1
3165303	3095333	1
3165303	3454283	2
3165303	3535369	1
3165303	3104113	1
3165303	3292509	1
3165303	3474159	1
3165303	281844	2
3165303	3355064	1
3165303	3452410	1
3165303	3625648	1
3165303	3929288	1
3165303	4344402	1
3165535	1433657	3
3165535	3299431	1
3165535	3526597	1
3165535	3903103	1
3165535	3206631	1
3165535	3253675	1
3165535	3254911	1
3165535	3615839	1
3165535	763243	2
3165535	2935083	1
3165535	3379913	1
3165535	3883753	3
3165535	4252913	1
3165535	1128355	1
3165535	3238359	1
3165535	3617325	1
3165535	4352111	1
3165535	3243864	1
3165535	3793674	1
3165535	4199610	1
3165535	1863472	1
3165535	3376968	1
3165535	4314968	1
3165535	4348274	1
3165535	3254830	1
3165535	3616738	1
3170790	3159227	1
3172760	3817741	2
3172760	3932297	2
3172760	3038748	2
3172760	3266934	3
3172760	3822406	1
3172922	3483067	2
3172922	3103830	3
3172922	3330494	1
3173587	3431140	1
3173587	3507592	3
3173587	3385602	1
3173587	3489678	3
3173587	3623792	1
3176806	735670	1
3178077	4778443	1
3178077	3700598	1
3178077	3275320	1
3179859	3321147	1
3179859	3672654	1
3179859	3647272	1
3180013	4740179	1
3180013	4809187	2
3180013	4814167	1
3180013	3725015	1
3180013	4734943	1
3180013	4855735	1
3180013	4640847	1
3180013	4773883	1
3180013	3722572	1
3182081	3614533	1
3182081	3877467	1
3182081	3810839	1
3182081	3561336	2
3182081	3669944	1
3182081	4455420	1
3182081	3291940	1
3182081	3838258	1
3182081	3359352	1
3182081	3759336	1
3184886	3871897	1
3184886	3123055	3
3184886	3875212	1
3186801	3110655	2
3186801	3634674	2
3187691	3279159	1
3187691	4224853	1
3187691	3068336	1
3187691	3803686	1
3187691	3623496	1
3187691	3256174	1
3187691	3343556	1
3187691	3700598	1
3187691	3887254	1
3187691	3275320	2
3187691	3283036	1
3194931	3309479	5
3194931	3698183	1
3194931	3311173	4
3194931	4162675	1
3194931	4592015	1
3194931	3656201	4
3194931	3733081	1
3194931	3767047	3
3194931	3871055	1
3194931	3431333	1
3194931	3495185	1
3194931	3526253	1
3194931	3977989	3
3194931	4819919	1
3194931	3373576	1
3194931	3384534	1
3194931	3983746	2
3194931	3627436	1
3194931	3716736	1
3194931	4009004	4
3194931	4149834	1
3194931	3426958	1
3194931	3869278	1
3194931	4082776	2
3195365	3657231	3
3195576	733911	5
3195576	1308777	3
3195576	3531499	2
3195576	3324572	4
3195576	3343708	1
3196203	3085122	1
3200630	332303	1
3200630	4306845	1
3200630	749153	1
3200630	3646481	1
3200630	3375271	1
3200630	3409804	1
3200630	3646720	1
3200630	3645526	1
3200630	3678592	2
3200630	4828090	1
3200630	4855852	1
3201546	3587765	4
3201546	3421599	4
3201546	3908263	3
3201546	3922503	5
3201546	3282653	4
3201546	3361589	2
3201546	3497757	4
3201546	4367671	3
3201546	3375618	3
3201546	4034132	3
3203323	4405741	1
3203323	3119277	4
3204588	917339	1
3204588	1010995	1
3204588	3240329	1
3204588	2834575	1
3204588	3243841	1
3204588	4335591	1
3204588	3864957	1
3204588	4643749	1
3204588	4805819	1
3204588	47726	1
3204588	4308850	1
3204588	3719736	1
3204588	3147740	1
3204588	3937780	1
3204588	4813806	1
3204588	3400072	1
3206631	1433657	1
3206631	3903103	1
3206631	3165535	1
3206631	3253675	1
3206631	3254911	1
3206631	763243	1
3206631	2935083	1
3206631	3883753	1
3206631	4252913	1
3206631	1128355	2
3206631	3238359	1
3206631	3617325	1
3206631	3243864	2
3206631	1863472	1
3208373	3520747	1
3208373	1943527	1
3208373	286164	2
3208373	3568828	1
3209593	3402553	1
3209593	4782605	2
3209593	2959515	1
3209806	3093865	2
3209806	4342284	1
3209806	3561240	2
3211904	3758543	3
3211904	3310189	2
3211904	3680669	2
3211904	3861348	2
3211904	3867266	2
3212329	3518129	1
3212329	3523697	1
3212329	3382524	1
3212329	3625786	2
3212329	3834214	1
3212885	3800290	3
3214257	775103	2
3214257	3784260	2
3219513	3091251	1
3219513	3699095	1
3219513	3113589	1
3219513	3509445	1
3219513	3687722	1
