src	dst	numberOfPaths
393981	3861383	1
393981	4328447	1
393981	3688817	1
393981	4873076	1
424141	568125	2
441822	3348425	1
441822	2998687	1
441822	3696734	2
441822	4058506	1
475663	3613739	1
475663	3037656	2
475663	3610916	1
475663	4810952	1
475663	3696734	1
486563	3555899	1
486563	3632251	1
486563	3289153	1
486563	3300275	1
486563	3872116	1
486563	3942314	1
486563	4041296	1
506371	3247877	2
506371	3268033	4
506371	3708181	4
506371	3581683	4
506371	4832785	5
506371	3622218	3
506371	3222348	4
506371	4177810	4
506371	1106474	4
506371	3108530	5
506371	3736768	6
509315	2584093	1
509315	3263643	1
509315	4217019	1
509315	3938997	1
509315	3065284	1
530019	2961057	1
530019	3223109	1
530019	4341815	1
530019	4340135	1
530019	3939128	1
530019	3309622	2
530019	2965282	1
530019	3502572	1
530019	3687524	1
530019	3818106	1
530019	3822516	1
534796	3357823	2
534796	3102633	4
534796	3402078	1
546463	3489411	1
546463	3603641	1
546463	4336255	1
546463	3659010	1
546463	696084	2
546463	1610724	2
547412	3250186	2
547412	3311030	1
551909	3552853	1
551909	3656587	1
551909	3760355	1
551909	4106201	1
551909	4081115	1
551909	3435649	1
551909	3588751	1
551909	3692425	1
551909	3673022	1
551909	4277322	1
551909	4118450	1
551909	4449864	1
551909	3872608	1
551909	4278870	1
568125	424141	2
586107	3289497	1
586107	4803401	1
586107	4173181	1
586107	4867229	1
586107	3803297	1
586107	650686	1
586107	1727538	2
586107	3460738	1
586107	3829084	1
586107	3853726	1
586107	2650810	1
586107	3680100	1
611380	3074463	1
611380	4306317	1
611380	3536830	1
611380	276100	1
611380	4183552	1
638500	3112435	1
638500	3942217	1
638500	3443346	1
638500	4126552	1
638500	3239112	1
638500	3330420	1
644511	3003269	1
644511	3677791	1
644511	4778201	1
644511	3468421	1
644511	3583733	1
644511	4339309	1
644511	654186	1
644511	3871310	1
644511	4834946	1
644511	2410858	1
644511	2972890	1
644511	3563668	1
644511	3670214	1
644511	4327662	1
644511	3030934	1
644511	4817076	1
650686	3289497	1
650686	4803401	1
650686	586107	1
650686	3597629	1
650686	4173181	2
650686	4867229	3
650686	3803297	1
650686	3876929	1
650686	3289670	1
650686	1727538	1
650686	3460738	3
650686	3829084	3
650686	3853726	1
650686	2650810	4
650686	4266026	1
654186	644511	1
654186	3003269	2
654186	3677791	1
654186	4778201	1
654186	3468421	1
654186	3510931	1
654186	3583733	1
654186	4339309	1
654186	3692544	1
654186	3871310	2
654186	4834946	1
654186	2410858	2
654186	3563668	2
654186	2410430	1
654186	2542904	2
654186	2980996	1
654186	3670214	1
654186	4327662	2
654186	3030934	1
654186	3045112	1
654186	4817076	1
658598	4443047	1
658598	4020944	1
661948	3429639	1
661948	4313715	1
661948	3465438	1
661948	671200	1
661948	4448060	1
661948	4459356	1
662152	3370317	1
662152	3026839	2
662152	3411857	2
662152	3453095	2
662152	3482396	1
662152	3840390	2
662152	3606298	1
662152	3861316	1
662152	3516810	2
662152	3605344	1
662152	3699278	1
662152	3740636	1
662152	3799332	2
662866	3086155	1
662866	4113581	1
662866	4156942	1
662866	4183750	1
662866	4774304	1
666256	4130274	1
670332	3527886	1
670332	1812072	1
670332	3907866	2
671200	3429639	1
671200	3465438	2
671200	661948	1
675691	2769561	1
675691	2551000	1
676089	3367477	1
676089	3327841	1
676089	3833501	1
676204	4037052	1
676204	3962128	1
676621	3577325	1
676621	4038944	1
677607	3222081	3
677607	1898176	2
678338	3582818	1
681504	3327241	2
681504	3678127	1
